ID,X,Y,Code,Location,OrigType,Number,Spot date,Raw material,Total (AC),Condition,Type,SubType,Classification,Description,ML,MW,MTh,SD Ref,AC Number,Photo?,Bag Number,X_OUT,Y_OUT,X_QC,Y_QC,Grid Ref,Lat,Long,,TypeUnique
CH1-1-17,374427,796551,CH1,Candieshill 1,flint,1,,Mottled red flint,1,OK,Blade,Inner,,,24,11,3,,,,,374427,796551,0,0,NO7442796551,57.059295,-2.4232603,,Blade
CH1-2-17,374347,796582,CH1,Candieshill 1,flint,1,Neo?,Light mottled grey flint,1,OK,Regular flake,Inner,Platform trimming flake?,Broad blade/flake with single dorsal scar. Possible Levallois-like flake,37,24,8,,,,,374347,796582,0,0,NO7434796582,57.059569,-2.4245824,,Regular flake
CH1-3-17,374326,796535,CH1,Candieshill 1,flint,1,,Light grey flint,1,Distal survives,Flake fragment,Secondary,,,,,,,,,,374326,796535,0,0,NO7432696535,57.059145,-2.4249238,,Flake fragment
CH1-4-17,374497,796476,CH1,Candieshill 1,flint,1,,Translucent mottled grey flint,1,OK,Regular flake,Inner,,Dihedral platform. Multi-directional flake scars on dorsal.,24,22,5,,,,,374497,796476,0,0,NO7449796476,57.058625,-2.4220986,,Retouched blade
CH1-5-17,374378,796537,CH1,Candieshill 1,flint,1,,Mottled grey flint,1,OK,Regular flake,Inner,Blade/flake,Hinge termination.,23,14,4,,,,,374378,796537,0,0,NO7437896537,57.059166,-2.4240667,,Irregular flake
CH1-6-17,374308,796648,CH1,Candieshill 1,flint,1,,Mottled light grey flint,1,OK,Retouched blade,Inner,Knife form - notched,Fine blade with two light notches worked on one side at distal end. CF ch1-7-17 and Stainton. EN?,,,,,,,,374308,796648,0,0,NO7430896648,57.060159,-2.4252322,,Core
CH1-7-17,374476,796449,CH1,Candieshill 1,flint,1,,Mottled light grey flint,1,OK,Retouched blade,Inner,Knife form - notched,Fine blade with notch worked on one side at proximal end. Down oppsite side possible edge damage from use as knife. CF Stainton. EN?,34,12,4,,,,,374476,796449,0,0,NO7447696449,57.058381,-2.4224421,,Chunk
CH1-8-17,374480,796508,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Regular flake,Secondary,,,19,32,9,,,,,374480,796508,0,0,NO7448096508,57.058911,-2.4223821,,Retouched flake
CH1-9-17,374445,796398,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Irregular flake,Secondary,,,44,22,10,,,,,374445,796398,0,0,NO7444596398,57.057921,-2.4229479,,Small flake
CH1-10-17,374490,796425,CH1,Candieshill 1,flint,1,,Mottled light grey flint,1,OK,Blade,Inner,,Hinge termination.,22,13,4,,,,,374490,796425,0,0,NO7449096425,57.058166,-2.4222088,,Blade fragment
CH1-11-17,374333,796619,CH1,Candieshill 1,flint,1,Neo?,Mottled red flint - Yorkshire-like,1,OK,Core,With cortex,Levallois-like,Platform made from detachment of broad flake. Part of new platform edge faceted in Levallois-like manner,47,42,36,,,,,374333,796619,0,0,NO7433396619,57.0599,-2.4248171,,
CH1-12-17,374475,796529,CH1,Candieshill 1,flint,1,,Red flint,1,OK,Flake fragment,Secondary,,Blade ridge on dorsal,,,,,,,,374475,796529,0,0,NO7447596529,57.0591,-2.4224667,,
CH1-13-17,374308,796648,CH1,Candieshill 1,flint,1,,Burnt flint,1,Calcined,Chunk,Secondary,,,,,,,,,,374308,796648,0,0,NO7430896648,57.060159,-2.4252322,,
CH1-14-17,374364,796580,CH1,Candieshill 1,flint,1,,Mottled light grey flint,1,OK,Retouched flake,Inner,Knife form,Cortical platfrom. Light shalloe edge retouch down one side. Edge damage from possible use as knife down opposite edge.,25,23,7,,,,,374364,796580,0,0,NO7436496580,57.059552,-2.424302,,
CH1-15-17,374487,796481,CH1,Candieshill 1,flint,1,,Mottled red/brown flint,1,OK,Regular flake,Secondary,,,44,27,14,,,,,374487,796481,0,0,NO7448796481,57.058669,-2.422264,,
CH1-16-17,374357,796575,CH1,Candieshill 1,flint,1,,Grey flint,1,OK,Irregular flake,Primary,,,32,22,4,,,,,374357,796575,0,0,NO7435796575,57.059506,-2.4244169,,
