ID,X,Y,Code,Location,OrigType,Number,Spot date,Raw material,Total (AC),Condition,Type,SubType,Classification,Description,ML,MW,MTh,SD Ref,AC Number,Photo?,Bag Number
CH1-1-17,374427,796551,CH1,Candieshill 1,flint,1,,Mottled red flint,1,OK,Blade,Inner,,,24,11,3,,,,
CH1-2-17,374347,796582,CH1,Candieshill 1,flint,1,Neo?,Light mottled grey flint,1,OK,Regular flake,Inner,Platform trimming flake?,Broad blade/flake with single dorsal scar. Possible Levallois-like flake,37,24,8,,,,
CH1-3-17,374326,796535,CH1,Candieshill 1,flint,1,,Light grey flint,1,Distal survives,Flake fragment,Secondary,,,,,,,,,
CH1-4-17,374497,796476,CH1,Candieshill 1,flint,1,,Translucent mottled grey flint,1,OK,Regular flake,Inner,,Dihedral platform. Multi-directional flake scars on dorsal.,24,22,5,,,,
CH1-5-17,374378,796537,CH1,Candieshill 1,flint,1,,Mottled grey flint,1,OK,Regular flake,Inner,Blade/flake,Hinge termination.,23,14,4,,,,
CH1-6-17,374308,796648,CH1,Candieshill 1,flint,1,,Mottled light grey flint,1,OK,Retouched blade,Inner,Knife form - notched,Fine blade with two light notches worked on one side at distal end. CF ch1-7-17 and Stainton. EN?,,,,,,,
CH1-7-17,374476,796449,CH1,Candieshill 1,flint,1,,Mottled light grey flint,1,OK,Retouched blade,Inner,Knife form - notched,Fine blade with notch worked on one side at proximal end. Down oppsite side possible edge damage from use as knife. CF Stainton. EN?,34,12,4,,,,
CH1-8-17,374480,796508,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Regular flake,Secondary,,,19,32,9,,,,
CH1-9-17,374445,796398,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Irregular flake,Secondary,,,44,22,10,,,,
CH1-10-17,374490,796425,CH1,Candieshill 1,flint,1,,Mottled light grey flint,1,OK,Blade,Inner,,Hinge termination.,22,13,4,,,,
CH1-11-17,374333,796619,CH1,Candieshill 1,flint,1,Neo?,Mottled red flint - Yorkshire-like,1,OK,Core,With cortex,Levallois-like,Platform made from detachment of broad flake. Part of new platform edge faceted in Levallois-like manner,47,42,36,,,,
CH1-12-17,374475,796529,CH1,Candieshill 1,flint,1,,Red flint,1,OK,Flake fragment,Secondary,,Blade ridge on dorsal,,,,,,,
CH1-13-17,374308,796648,CH1,Candieshill 1,flint,1,,Burnt flint,1,Calcined,Chunk,Secondary,,,,,,,,,
CH1-14-17,374364,796580,CH1,Candieshill 1,flint,1,,Mottled light grey flint,1,OK,Retouched flake,Inner,Knife form,Cortical platfrom. Light shalloe edge retouch down one side. Edge damage from possible use as knife down opposite edge.,25,23,7,,,,
CH1-15-17,374487,796481,CH1,Candieshill 1,flint,1,,Mottled red/brown flint,1,OK,Regular flake,Secondary,,,44,27,14,,,,
CH1-16-17,374357,796575,CH1,Candieshill 1,flint,1,,Grey flint,1,OK,Irregular flake,Primary,,,32,22,4,,,,
CH1-17-17,374469,796492,CH1,Candieshill 1,flint,1,,Toffee flint,1,Rolled,Small flake,Inner,,Small blade fragment.,,,,,,,
CH1-18-17,374525,796462,CH1,Candieshill 1,flint,1,,Mottled grey flint,1,OK,Regular flake,Secondary,,,15,21,5,,,,
CH1-19-17,374307,796571,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Regular flake,Inner,Blade/flake,,19,14,3,,,,
CH1-20-17,374382,796508,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Core,With cortex,Bipolar,Single platform blade scars on one face and heavy step fractures on opposite face possibly from reworking as bipolar core,34,24,17,,,,
CH1-21-17,374354,796557,CH1,Candieshill 1,flint,1,,Burnt flint,1,Calcined,Chunk,Inner,,,,,,,,,
CH1-22-17,374401,796477,CH1,Candieshill 1,flint,1,,Red flint,1,Distal survives,Blade,Inner,,Forked blade scars on dorsal.,broken 18,12,4,,,,
CH1-23-17,374461,796475,CH1,Candieshill 1,flint,1,,Red flint,1,OK,Retouched flake,Secondary,Knife form,"Semi-abrupt retouch around long, inner distal end. Cortex around proximal end.",23,32,9,,,,
CH1-24-17,374402,796538,CH1,Candieshill 1,flint,1,,Mottled brown flint,1,OK,Irregular flake,Inner,,,35,50,11,,,,
CH1-25-17,374454,796455,CH1,Candieshill 1,flint,1,,Quartz,1,OK,Chunk,Secondary,,?Possibly natural,,,,,,,
CH1-26-17,374429,796407,CH1,Candieshill 1,flint,1,,Toffee flint,1,OK,Regular flake,Secondary,,,18,14,6,,,,
CC1-1-17,373512,796168,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Chunk,Inner,,,,,,,,,
CC1-2-17,373512,796168,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Chunk,Secondary,,Fragment,,,,,,,
CC1-3-17,373377,796386,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Blade fragment,Inner,,,,,,,,,
CC1-4-17,373528,796233,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Chunk,Inner,,fragment,,,,,,,
CC1-5-17,373274,796426,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Regular flake,Secondary,,,18,17,6,,,,
CC1-6-17,373535,796175,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Small flake,Secondary,,,,,,,,,
CC1-7-17,373535,796175,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Core,With cortex,SP/Blade,Cortex backing. Flaked platform with step fractures,34,32,22,,,,
CC1-8-17,373463,796187,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Flake fragment,Secondary,,,,,,,,,
CC1-9-17,373467,796188,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Spall,Primary,,,,,,,,,
CC1-10-17,373498,796261,CC1,Crathes Castle field 1,flint,1,,Burnt flint,1,Calcined,Spall,Secondary,,,,,,,,,
CC1-11-17,373374,796385,CC1,Crathes Castle field 1,flint,1,,Toffee flint,1,OK,Small flake,Secondary,,,,,,,,,
